B,C,N,F,Na,Mg,Al,G - Al,Si,P,Li,Be,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,A - Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,La,Ce,Pr,Nd,Pm,Cs,Ba,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,IWI,WI,CI,SI,SGP,CP,HDP,UGC,SCT,FSP,ME,DP,SGC,LPRD,IWCI,Calc. T,Calc T. (hr),Rxn. T,H2 vol.%,O2 vol.%,CO vol.%,H2O vol.%,CO2 vol.%,CH4 vol.%,He vol.%,N2 vol.%,TOS (min),F/W (mg.min/ml),CO Conversion,AN (1),AW (1),atomic radius (1),electronegativity (1),m. p. (1),b. p. (1),delta_fus H (1),density (1),ionization energy (1),Surface energy (1),AN (2),AW (2),atomic radius (2),electronegativity (2),m. p. (2),b. p. (2),delta_fus H (2),density (2),ionization energy (2),Surface energy (2),AN (3),AW (3),atomic radius (3),electronegativity (3),m. p. (3),b. p. (3),delta_fus H (3),density (3),ionization energy (3),Surface energy (3),AN (4),AW (4),atomic radius (4),electronegativity (4),m. p. (4),b. p. (4),delta_fus H (4),density (4),ionization energy (4),Surface energy (4)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.35367024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646329763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,230,0,0,4.498,30.6,0,0,0,0,60,2,69.1,5646.512874,13640.80686,180.1042899,109.0361107,103973.7198,353685.884,531.5510395,659.0843475,539.2127733,99.30074364,209.0600513,521.238576,4.604613788,6.721677599,3539.016182,8280.36583,33.66131459,51.07416443,24.41371523,1.958284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.57870345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421296554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,230,0,0,4.498,30.6,0,0,0,0,60,2,76.4,5543.5648,13392.10561,176.8206014,107.0481479,102078.0553,347237.4296,521.8597208,647.0678223,529.3817648,97.49027751,349.2824278,870.8477498,7.693056004,11.23009325,5912.732521,13834.23692,56.23889217,85.33102349,40.78867136,3.27175945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,260,0,0,4.498,30.6,0,0,0,0,60,2,81,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.35367024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646329763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,260,0,0,4.498,30.6,0,0,0,0,60,2,87.5,5646.512874,13640.80686,180.1042899,109.0361107,103973.7198,353685.884,531.5510395,659.0843475,539.2127733,99.30074364,209.0600513,521.238576,4.604613788,6.721677599,3539.016182,8280.36583,33.66131459,51.07416443,24.41371523,1.958284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.57870345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421296554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,260,0,0,4.498,30.6,0,0,0,0,60,2,89.7,5543.5648,13392.10561,176.8206014,107.0481479,102078.0553,347237.4296,521.8597208,647.0678223,529.3817648,97.49027751,349.2824278,870.8477498,7.693056004,11.23009325,5912.732521,13834.23692,56.23889217,85.33102349,40.78867136,3.27175945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,290,0,0,4.498,30.6,0,0,0,0,60,2,90,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.35367024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646329763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,290,0,0,4.498,30.6,0,0,0,0,60,2,93.2,5646.512874,13640.80686,180.1042899,109.0361107,103973.7198,353685.884,531.5510395,659.0843475,539.2127733,99.30074364,209.0600513,521.238576,4.604613788,6.721677599,3539.016182,8280.36583,33.66131459,51.07416443,24.41371523,1.958284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.57870345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421296554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,290,0,0,4.498,30.6,0,0,0,0,60,2,94.9,5543.5648,13392.10561,176.8206014,107.0481479,102078.0553,347237.4296,521.8597208,647.0678223,529.3817648,97.49027751,349.2824278,870.8477498,7.693056004,11.23009325,5912.732521,13834.23692,56.23889217,85.33102349,40.78867136,3.27175945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,320,0,0,4.498,30.6,0,0,0,0,60,2,92,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.35367024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646329763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,320,0,0,4.498,30.6,0,0,0,0,60,2,93.3,5646.512874,13640.80686,180.1042899,109.0361107,103973.7198,353685.884,531.5510395,659.0843475,539.2127733,99.30074364,209.0600513,521.238576,4.604613788,6.721677599,3539.016182,8280.36583,33.66131459,51.07416443,24.41371523,1.958284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.57870345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421296554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,320,0,0,4.498,30.6,0,0,0,0,60,2,95.8,5543.5648,13392.10561,176.8206014,107.0481479,102078.0553,347237.4296,521.8597208,647.0678223,529.3817648,97.49027751,349.2824278,870.8477498,7.693056004,11.23009325,5912.732521,13834.23692,56.23889217,85.33102349,40.78867136,3.27175945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,350,0,0,4.498,30.6,0,0,0,0,60,2,93.1,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.35367024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646329763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,350,0,0,4.498,30.6,0,0,0,0,60,2,93.3,5646.512874,13640.80686,180.1042899,109.0361107,103973.7198,353685.884,531.5510395,659.0843475,539.2127733,99.30074364,209.0600513,521.238576,4.604613788,6.721677599,3539.016182,8280.36583,33.66131459,51.07416443,24.41371523,1.958284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.57870345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421296554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,350,0,0,4.498,30.6,0,0,0,0,60,2,95.8,5543.5648,13392.10561,176.8206014,107.0481479,102078.0553,347237.4296,521.8597208,647.0678223,529.3817648,97.49027751,349.2824278,870.8477498,7.693056004,11.23009325,5912.732521,13834.23692,56.23889217,85.33102349,40.78867136,3.27175945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,200,0,0,4.498,30.6,0,0,0,0,60,2,57.7,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,200,0,0,4.498,30.6,0,0,0,0,60,1.04,40.2,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,200,0,0,4.498,30.6,0,0,0,0,60,0.69,30.1,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,230,0,0,4.498,30.6,0,0,0,0,60,2,74.6,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,230,0,0,4.498,30.6,0,0,0,0,60,1.04,64.6,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,230,0,0,4.498,30.6,0,0,0,0,60,0.69,54.7,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,260,0,0,4.498,30.6,0,0,0,0,60,2,85,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.12002904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879970955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,260,0,0,4.498,30.6,0,0,0,0,60,1.04,75.5,5748.961685,13888.30199,183.3720537,111.0144325,105860.191,360103.0655,541.1953586,671.0425966,548.9961049,101.1024296,69.51770546,173.3248872,1.531149462,2.235126226,1176.811558,2753.429119,11.19323055,16.98343944,8.118172048,0.651178507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
